orderNo,transNo,memberId,dueLoanAmt,realLoanAmt,acctTempId,orderState,orderStatus,orderType,repaymentPeriod,periodType,bankName,successTime,successLogicDate,crtTime,updTime,remittanceType,UPDATE_DAY
tqyjk2016122107304603,XDCLA074363A38B6416ABE7743B0E642E898,104551815,210000,210000,420002,99,2,1,3,1,工商银行,21DEC2016:10:39:41,21DEC2016,21DEC2016:10:39:24,01MAR2017:22:20:01,0,20181102
TQYJK20170104X7L57RT77y,XDCL8F636AD482994CE59A88CFED3C5300E5,103838224,230000,230000,420002,99,2,1,3,1,招商银行,04JAN2017:10:00:51,04JAN2017,04JAN2017:10:00:25,01MAR2017:23:34:11,0,20181102
TQYJK20170112uo39CG6l34,,100019314,130000,130000,420002,2,3,1,3,1,平安银行,,,12JAN2017:14:44:24,12JAN2017:14:44:29,0,20181102
TQYJK201701232h65oGbAR5,,101663015,190000,190000,420002,2,3,1,3,1,招商银行,,,23JAN2017:10:14:47,23JAN2017:10:14:50,0,20181102
TQYJK20170123H03KcIC4OQ,,101663015,190000,190000,420002,2,3,1,3,1,招商银行,,,23JAN2017:10:15:33,23JAN2017:10:15:37,0,20181102
TQYJK20170203620zMF13pj,,101663015,190000,190000,420002,2,3,1,3,1,招商银行,,,03FEB2017:12:32:57,03FEB2017:12:33:01,0,20181102
TQYJK2017020399s38F2J1w,XDCL5F54E6FBA98E4F19AADB3D0B96849034,100049700,370000,370000,420002,99,2,1,6,1,农业银行,03FEB2017:13:00:34,03FEB2017,03FEB2017:13:00:17,03FEB2017:13:00:46,0,20181102
TQYJK2017020446u54e4WLn,XDCLC904CA80717C45DCAA85D05A18F0C2AC,103838224,70000,70000,420002,99,2,1,3,1,招商银行,04FEB2017:10:03:16,04FEB2017,04FEB2017:10:03:01,04FEB2017:10:03:28,0,20181102
TQYJK201702047w6wL3K5q6,XDCLA5D79A00782043769A0306391585C4B8,103817048,170000,170000,420002,99,2,1,3,1,工商银行,04FEB2017:10:04:05,04FEB2017,04FEB2017:10:03:48,04FEB2017:10:04:17,0,20181102
TQYJK20170206154Edr02z7,XDCL0CF7DAF5045B4DF09C3A0D2DE11BBF87,10471981,500000,500000,420002,99,2,1,3,1,建设银行,06FEB2017:12:40:44,06FEB2017,06FEB2017:12:40:28,06FEB2017:12:40:55,0,20181102
TQYJK201702080RZ624f6z3,XDCL0D56F6867AE549BA980DFFBD3C6DED99,104551815,70000,70000,420002,99,2,1,3,1,工商银行,08FEB2017:10:00:42,08FEB2017,08FEB2017:10:00:19,08FEB2017:10:00:54,0,20181102
TQYJK20170213Jb712P3y88,XDCL7FBA8D0B925B45D9BA68C6A3BA269505,102933050,180000,180000,420002,99,2,1,3,1,工商银行,13FEB2017:13:17:02,13FEB2017,13FEB2017:13:16:44,13FEB2017:13:17:14,0,20181102
TQYJK201702133L1u27om1i,,103221802,820000,820000,420002,2,3,1,12,1,中国建设银行,,,13FEB2017:22:31:55,13FEB2017:22:31:59,0,20181102
TQYJK201702130co3o450r0,XDCLD8604F78985549B9BA3633DC3B719E16,103221802,820000,820000,420002,99,2,1,12,1,中国建设银行,13FEB2017:22:32:21,13FEB2017,13FEB2017:22:32:02,13FEB2017:22:32:32,0,20181102
TQYJK20170215h4Xd3P265L,XDCLA11727279B6F403F9EF853674F4910D3,103395155,340000,340000,420002,99,2,1,6,1,交通银行,15FEB2017:09:38:46,15FEB2017,15FEB2017:09:38:25,15FEB2017:09:38:59,0,20181102
TQYJK2017021595H88m3LkT,XDCL6AA231FDD16949FF997DD2637B67CF5C,102933050,70000,70000,420002,99,2,1,3,1,工商银行,15FEB2017:16:18:20,15FEB2017,15FEB2017:16:18:06,15FEB2017:16:18:32,0,20181102
TQYJK20170217J47t4083hg,XDCL5F5A8781DCB948E3991267CB3C2B4D39,101277218,220000,220000,420002,99,2,1,3,1,工商银行,17FEB2017:09:53:34,17FEB2017,17FEB2017:09:53:21,17FEB2017:09:53:45,0,20181102
TQYJK201702218rhv7sh599,XDCL6C45D02380DA419BBCF319FF000FC98E,102451307,330000,330000,420002,99,2,1,6,1,建设银行,21FEB2017:10:53:30,21FEB2017,21FEB2017:10:52:49,21FEB2017:10:53:42,0,20181102
