id,memberId,orderNo,bizOrderNo,loanAmount,loanDate,isFree,freeNum,interestType,feeRate,rateType,totalNum,payNum,nextRepayDate,overdueNum,orderStatus,isOverdue,cancelFlag,channelType,acctTempId,logicTime,parentOrderNo,orderType,totalPayAmt,serviceFee,totalInitFee,totalAmt,totalPrincipal,totalFee,totalOverdue,totalLatefee,totalAdvanceFee,totalRepayPoundage,totalRepayDiscountfee,totalLoanDiscountfee,totalDayLoanDiscountfee,totalPayLoanDiscountfee,loanDiscountfeeType,loanDiscountfeeAmt,loanDiscountfeeRate,remainTotalAmt,remainTotalPrincipal,remainTotalFee,remainTotalOverdue,remainTotalLatefee,refundDate,refundTotalAmt,waiverTotalAmt,deleted,crtTime,uptTime,deferredFlag,loanTerm,loanTermUnit,UPDATE_DAY
535,104551815,tqyjk2016122107304603,,210000,21DEC2016,0,0,1,0.0500,3,3,3,21MAR2017,0,2,0,0,C001,420002,22MAR2017:05:11:07,,1,143360,0,6405,216755,210000,6405,350,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,21DEC2016:10:39:41,21MAR2017:00:01:00,,,,20181102
734,103838224,TQYJK20170104X7L57RT77y,,230000,04JAN2017,0,0,1,0.0550,3,3,3,04APR2017,0,2,0,0,C001,420002,30MAR2017:14:29:15,,1,156503,0,7590,237091,230000,7091,0,0,295,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,04JAN2017:10:00:51,30MAR2017:00:01:01,,,,20181102
1275,100049700,TQYJK2017020399s38F2J1w,,370000,03FEB2017,0,0,1,0.0550,3,6,6,03AUG2017,0,2,0,0,C001,420002,03AUG2017:03:31:12,,1,257102,0,21265,391389,370000,21265,124,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,03FEB2017:13:00:34,03AUG2017:00:01:08,,,,20181102
1294,103838224,TQYJK2017020446u54e4WLn,,70000,04FEB2017,0,0,1,0.0550,3,3,3,04MAY2017,0,2,0,0,C001,420002,31MAR2017:09:50:52,,1,71674,0,2259,71674,70000,1674,0,0,193,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,04FEB2017:10:03:16,30MAR2017:00:01:06,,,,20181102
1295,103817048,TQYJK201702047w6wL3K5q6,,170000,04FEB2017,0,0,1,0.0550,3,3,3,04MAY2017,0,2,0,0,C001,420002,27APR2017:09:04:16,,1,57385,0,5485,175241,170000,5241,0,0,62,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,04FEB2017:10:04:05,27APR2017:00:01:01,,,,20181102
1398,10471981,TQYJK20170206154Edr02z7,,500000,06FEB2017,0,0,1,0.0500,3,3,3,06MAY2017,0,2,0,0,C001,420002,04MAY2017:18:50:06,,1,171334,0,14667,512083,500000,12083,0,0,2500,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,06FEB2017:12:40:44,04MAY2017:00:01:01,,,,20181102
1473,104551815,TQYJK201702080RZ624f6z3,,70000,08FEB2017,0,0,1,0.0550,3,3,3,08MAY2017,0,2,0,0,C001,420002,17APR2017:10:24:43,,1,23450,0,2259,72038,70000,1990,48,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,08FEB2017:10:00:42,17APR2017:00:01:05,,,,20181102
1702,102933050,TQYJK20170213Jb712P3y88,,180000,13FEB2017,0,0,1,0.0500,3,3,3,13MAY2017,0,2,0,0,C001,420002,16MAY2017:10:49:23,,1,123000,0,5280,185520,180000,5280,240,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,13FEB2017:13:17:03,13MAY2017:00:01:01,,,,20181102
1728,103221802,TQYJK201702130co3o450r0,,820000,13FEB2017,0,0,1,0.0500,3,12,12,13FEB2018,0,2,0,0,C001,420002,18FEB2018:15:34:15,,1,821581,0,80497,901394,820000,80497,897,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,13FEB2017:22:32:21,13FEB2018:00:01:00,,,,20181102
1780,103395155,TQYJK20170215h4Xd3P265L,,340000,15FEB2017,0,0,1,0.0550,3,6,6,15AUG2017,0,2,0,0,C001,420002,15AUG2017:03:25:32,,1,297847,0,19542,359562,340000,19448,114,0,312,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,15FEB2017:09:38:46,15AUG2017:00:01:09,,,,20181102
1791,102933050,TQYJK2017021595H88m3LkT,,70000,15FEB2017,0,0,1,0.0500,3,3,3,15MAY2017,0,2,0,0,C001,420002,16MAY2017:15:03:05,,1,47776,0,2053,72054,70000,2030,24,0,35,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,15FEB2017:16:18:20,15MAY2017:00:01:03,,,,20181102
1843,101277218,TQYJK20170217J47t4083hg,,220000,17FEB2017,0,0,1,0.0550,3,3,3,17MAY2017,0,2,0,0,C001,420002,02MAY2017:11:31:57,,1,73939,0,7099,226413,220000,6413,0,0,161,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,17FEB2017:09:53:34,02MAY2017:00:01:06,,,,20181102
2111,102451307,TQYJK201702218rhv7sh599,,330000,21FEB2017,0,0,1,0.0500,3,6,6,21AUG2017,-1,2,0,0,C001,420002,01SEP2017:10:15:58,,1,288504,0,17244,348124,330000,17244,880,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,21FEB2017:10:53:30,21AUG2017:00:01:11,,,,20181102
2145,101773885,TQYJK2017022161Dl506XKK,,270000,21FEB2017,0,0,1,0.0550,3,3,3,21MAY2017,0,2,0,0,C001,420002,23MAY2017:05:21:30,,1,281232,0,8712,281232,270000,8712,2520,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,21FEB2017:17:25:42,21MAY2017:00:01:03,,,,20181102
2260,104551815,TQYJK20170223291AYod4LE,,70000,23FEB2017,0,0,1,0.0550,3,3,3,23MAY2017,0,2,0,0,C001,420002,23MAY2017:18:35:22,,1,47872,0,2259,72283,70000,2259,24,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,23FEB2017:15:09:38,23MAY2017:00:01:03,,,,20181102
2355,103838224,TQYJK2017022670ygO99A99,,100000,26FEB2017,0,0,1,0.0550,3,3,3,26MAY2017,0,2,0,0,C001,420002,31MAR2017:09:51:23,,1,101686,0,3227,101686,100000,1686,0,0,73,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,26FEB2017:08:32:00,31MAR2017:00:01:03,,,,20181102
