id,memberId,orderNo,orderType,totalNum,num,repayStatus,repayType,isOverdue,repayDate,payDate,payAmt,overdueNum,initTotalAmt,initPrincipal,initFee,initAdvanceFee,totalAmt,principal,fee,overdue,latefee,advanceFee,poundage,remainTotalAmt,remainPrincipal,remainFee,remainOverdue,remainLatefee,remainAdvanceFee,waiverFee,waiverAdvanceFee,waiverOverdue,waiverLatefee,waiverPoundage,loanDiscountfee,dayLoanDiscount,payLoanDiscountfee,repayDiscountfee,refundTotalAmt,isFree,discountParty,rotateStatus,deleted,crtTime,uptTime,interestStatus,deferredFlag,UPDATE_DAY
21973,101624821,TQYJK20170420NIV1546m9g,1,3,1,1,1,1,20MAY2017,,0,531,27986,26666,1320,0,42323,26666,1320,14337,0,0,0,42323,26666,1320,14337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20APR2017:08:48:37,02NOV2018:00:05:24,0,,20181102
25721,104648208,TQYJK20170429A9Q6K7M30z,1,3,1,1,1,1,28MAY2017,,0,523,17464,16666,798,0,26355,16666,798,8891,0,0,0,26355,16666,798,8891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29APR2017:14:36:01,02NOV2018:00:05:28,0,,20181102
10606,104648208,TQYJK201703090Q8C1S612U,1,6,3,1,1,1,09JUN2017,,0,511,56970,53333,3637,0,84564,53333,3637,27594,0,0,0,84564,53333,3637,27594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,09MAR2017:15:02:34,02NOV2018:00:05:32,0,,20181102
11485,101624821,TQYJK201703103K1l3X09Jd,1,3,3,1,1,1,10JUN2017,,0,510,40682,40000,682,440,61082,40000,682,20400,0,0,0,61082,40000,682,20400,0,440,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10MAR2017:13:11:23,02NOV2018:00:05:34,0,,20181102
21974,101624821,TQYJK20170420NIV1546m9g,1,3,2,1,1,1,20JUN2017,,0,500,27575,26666,909,0,41075,26666,909,13500,0,0,0,41075,26666,909,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20APR2017:08:48:37,02NOV2018:00:05:42,0,,20181102
1474832,104735072,TQYJK20170526X8yne9P7L5,1,3,1,1,1,1,26JUN2017,,0,494,77084,73333,3751,0,113640,73333,3751,36556,0,0,0,113640,73333,3751,36556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26MAY2017:17:51:45,02NOV2018:00:05:48,0,,20181102
25722,104648208,TQYJK20170429A9Q6K7M30z,1,3,2,1,1,1,28JUN2017,,0,492,17234,16666,568,0,25598,16666,568,8364,0,0,0,25598,16666,568,8364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29APR2017:14:36:01,02NOV2018:00:05:49,0,,20181102
10607,104648208,TQYJK201703090Q8C1S612U,1,6,4,1,1,1,09JUL2017,,0,481,55973,53333,2640,0,81947,53333,2640,25974,0,0,0,81947,53333,2640,25974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,09MAR2017:15:02:34,02NOV2018:00:05:00,0,,20181102
21975,101624821,TQYJK20170420NIV1546m9g,1,3,3,1,1,1,20JUL2017,,0,470,27108,26668,440,0,39798,26668,440,12690,0,0,0,39798,26668,440,12690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20APR2017:08:48:37,02NOV2018:00:05:09,0,,20181102
1474833,104735072,TQYJK20170526X8yne9P7L5,1,3,2,1,1,1,26JUL2017,,0,464,75753,73333,2420,0,110089,73333,2420,34336,0,0,0,110089,73333,2420,34336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26MAY2017:17:51:46,02NOV2018:00:05:16,0,,20181102
